figure,panel,dataset,question,uncertainty,collision_review,identity,result
fig01_throughput,a,AGNews,throughput,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig01_throughput,b,GIST,throughput,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig01_throughput,c,DBpedia,throughput,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig02_read_volume,a,AGNews,read volume,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig02_read_volume,b,GIST,read volume,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig02_read_volume,c,DBpedia,read volume,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig03_tail_latency,a,AGNews,query p95,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig03_tail_latency,b,GIST,query p95,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig03_tail_latency,c,DBpedia,query p95,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig04_screening_io,a,AGNews,screening or read-page counts,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig04_screening_io,b,GIST,screening or read-page counts,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig04_screening_io,c,DBpedia,screening or read-page counts,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig04_screening_io,d,AGNews,screening or read-page counts,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig04_screening_io,e,GIST,screening or read-page counts,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig04_screening_io,f,DBpedia,screening or read-page counts,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig05_full_sweep,a,AGNews,full-sweep throughput,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig05_full_sweep,b,GIST,full-sweep throughput,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig05_full_sweep,c,DBpedia,full-sweep throughput,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig06_requests,a,AGNews,I/O requests,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig06_requests,b,GIST,I/O requests,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
fig06_requests,c,DBpedia,I/O requests,None: one measured run per setting; p95 is within-run quantile,Clear after removing redundant top-row search-width labels,Color plus line/marker shape; method scope in caption,pass
